experiment,scenario,value,policy,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,p_c5_viol,p_c6_viol,p_c7_viol,p_c8_viol,mean_c5_excess_ratio,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,total_energy,avg_energy_per_slot_user,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio
stress_scan,load_scale,0.5,Full,1,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.8,0.4666666666666667,0.4,271.3889549122826,0.7197777777777777,14491401.091811467,605133720997242.1,0.051888888888888755,7.89378591112933,0.0008770873234588144,0.0,0.0,0.0,0.9481111111111111,0.0,0.0,0.0,0.05188888888888889
stress_scan,load_scale,0.5,Full,2,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.8,0.6,0.4,271.70391223031,0.6294444444444445,15981436.744144065,628442241934638.9,0.05044444444444431,7.66151508432299,0.0008512794538136656,0.0,0.0,0.0,0.9495555555555556,0.0,0.0,0.0,0.050444444444444445
stress_scan,load_scale,0.5,Full,3,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.7333333333333333,0.5333333333333333,0.4,272.1512523190013,0.618,15349087.548039313,609318587316587.2,0.05177777777777764,7.763674045850369,0.0008626304495389298,0.0,0.0,0.0,0.9482222222222222,0.0,0.0,0.0,0.05177777777777778
stress_scan,load_scale,0.5,Full,4,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.7333333333333333,0.4666666666666667,0.4,271.37366552762273,0.6018888888888888,15214792.066100823,650268016676810.1,0.05155555555555542,8.099665921245265,0.0008999628801383627,0.0,0.0,0.0,0.9484444444444444,0.0,0.0,0.0,0.051555555555555556
stress_scan,load_scale,0.5,Full,5,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.8,0.5333333333333333,0.4666666666666667,270.3408490521103,0.6596666666666666,14407625.542489873,577220554810992.6,0.04733333333333321,7.272352711483209,0.000808039190164801,0.0,0.0,0.0,0.9526666666666667,0.0,0.0,0.0,0.04733333333333333
stress_scan,load_scale,0.5,IQL,1,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.6666666666666666,0.4666666666666667,0.3333333333333333,269.5600077855934,0.4881111111111111,13141891.136355173,550171945146035.56,0.051777777777777645,7.43907900596229,0.00082656433399581,0.0,0.0,0.0,0.9482222222222222,0.0,0.0,0.0,0.05177777777777778
stress_scan,load_scale,0.5,IQL,2,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.6666666666666666,0.4666666666666667,0.26666666666666666,270.1652888419975,0.5247777777777778,13347552.53715775,571985135843412.4,0.05077777777777765,7.508165544683264,0.0008342406160759182,0.0,0.0,0.0,0.9492222222222222,0.0,0.0,0.0,0.050777777777777776
stress_scan,load_scale,0.5,IQL,3,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.6666666666666666,0.3333333333333333,0.26666666666666666,269.4967129321029,0.5503333333333332,12675463.622724162,550367011963452.0,0.05099999999999986,7.628414427481567,0.0008476016030535074,0.0,0.0,0.0,0.949,0.0,0.0,0.0,0.051
stress_scan,load_scale,0.5,IQL,4,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.6666666666666666,0.4,0.3333333333333333,270.82120832344026,0.5588888888888889,13472111.516682727,544569215860221.3,0.05155555555555542,7.268204762667339,0.0008075783069630377,0.0,0.0,0.0,0.9484444444444444,0.0,0.0,0.0,0.051555555555555556
stress_scan,load_scale,0.5,IQL,5,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.6666666666666666,0.4,0.3333333333333333,269.37434510643095,0.5023333333333333,12376675.292942617,495503700741357.7,0.048222222222222104,7.121102779972339,0.0007912336422191488,0.0,0.0,0.0,0.9517777777777777,0.0,0.0,0.0,0.04822222222222222
stress_scan,load_scale,0.5,No-EVT,1,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.8,0.4666666666666667,0.4,273.1060283261859,0.656,16232164.669283358,758076288671065.1,0.05222222222222209,7.525912039953899,0.0008362124488837666,0.0,0.0,0.0,0.9477777777777778,0.0,0.0,0.0,0.052222222222222225
stress_scan,load_scale,0.5,No-EVT,2,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.8,0.6,0.4,272.7994095097957,0.6524444444444445,17778283.077865727,838645020458189.1,0.04999999999999987,7.547664553941071,0.0008386293948823413,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.05
stress_scan,load_scale,0.5,No-EVT,3,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.6666666666666666,0.5333333333333333,0.4,271.528767295832,0.5763333333333333,16810314.585707903,833151129691180.6,0.05177777777777764,8.725453385634044,0.0009694948206260049,0.0,0.0,0.0,0.9482222222222222,0.0,0.0,0.0,0.05177777777777778
stress_scan,load_scale,0.5,No-EVT,4,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.8,0.4666666666666667,0.4,272.6613484720194,0.6244444444444445,16180982.997166362,802214222356442.8,0.05177777777777764,7.917449636695058,0.0008797166262994509,0.0,0.0,0.0,0.9482222222222222,0.0,0.0,0.0,0.05177777777777778
stress_scan,load_scale,0.5,No-EVT,5,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.8,0.5333333333333333,0.4,270.94880968725323,0.6997777777777777,16185349.37473725,762167812418259.2,0.04722222222222211,7.53651549621665,0.0008373906106907389,0.0,0.0,0.0,0.9527777777777777,0.0,0.0,0.0,0.04722222222222222
stress_scan,load_scale,0.5,Lyapunov-Greedy,1,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.0,0.0,0.0,259.20738610888895,0.0,0.0,0.0,0.0,2.4300000000000144,0.0002700000000000016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Lyapunov-Greedy,2,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.0,0.0,0.0,259.3636266974074,0.0,0.0,0.0,0.0,2.4300000000000144,0.0002700000000000016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Lyapunov-Greedy,3,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.0,0.0,0.0,259.2162705281482,0.0,0.0,0.0,0.0,2.4300000000000144,0.0002700000000000016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Lyapunov-Greedy,4,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.0,0.0,0.0,259.15559978814815,0.0,0.0,0.0,0.0,2.4300000000000144,0.0002700000000000016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Lyapunov-Greedy,5,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.0,0.0,0.0,259.1262876074075,0.0,0.0,0.0,0.0,2.4300000000000144,0.0002700000000000016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Non-MEC,1,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.0,0.0,0.0,259.20738610888895,0.0,0.0,0.0,0.0,2.4300000000000144,0.0002700000000000016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Non-MEC,2,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.0,0.0,0.0,259.3636266974074,0.0,0.0,0.0,0.0,2.4300000000000144,0.0002700000000000016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Non-MEC,3,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.0,0.0,0.0,259.2162705281482,0.0,0.0,0.0,0.0,2.4300000000000144,0.0002700000000000016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Non-MEC,4,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.0,0.0,0.0,259.15559978814815,0.0,0.0,0.0,0.0,2.4300000000000144,0.0002700000000000016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Non-MEC,5,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.0,0.0,0.0,259.1262876074075,0.0,0.0,0.0,0.0,2.4300000000000144,0.0002700000000000016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Stand-alone MEC,1,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,1.0,1.0,1.0,3204.688735697228,1.0,301503058.70243335,9.618079378451976e+16,1.0,114.30945492360692,0.012701050547067435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stress_scan,load_scale,0.5,Stand-alone MEC,2,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,1.0,1.0,1.0,3204.7743631077465,1.0,301503195.9246555,9.61839972879828e+16,1.0,114.32760189244902,0.012703066876938781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stress_scan,load_scale,0.5,Stand-alone MEC,3,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,1.0,1.0,1.0,3204.926575304689,1.0,301511991.05243325,9.619180714238856e+16,1.0,114.31492214592319,0.012701658016213688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stress_scan,load_scale,0.5,Stand-alone MEC,4,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,1.0,1.0,1.0,3204.510614194262,1.0,301491417.0135444,9.617723097229093e+16,1.0,114.30031901953654,0.012700035446615172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stress_scan,load_scale,0.5,Stand-alone MEC,5,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,1.0,1.0,1.0,3204.6613094775125,1.0,301511166.60243326,9.618851114770427e+16,1.0,114.32153629274208,0.012702392921415787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stress_scan,load_scale,0.5,Random,1,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,1.0,1.0,1.0,1159.5581983909117,1.0,1305stress_scan,load_scale,1.0,Full,2,15,1.0,1.0,1.0,1.0,2000,0.7,1.0,0.0,0.0,0.0,519.7272533948147,0.0,0.0,0.0,0.0,2.4300000000000144,0.0002700000000000016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,1.0,Full,3,15,1.0,1.0,1.0,1.0,2000,0.7,1.0,0.0,0.0,0.0,519.4325410562964,0.0,0.0,0.0,0.0,2.4300000000000144,0.0002700000000000016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,1.0,Full,4,15,1.0,1.0,1.0,1.0,2000,0.7,1.0,0.0,0.0,0.0,519.3111995762962,0.0,0.0,0.0,0.0,2.4300000000000144,0.0002700000000000016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,1.0,Full,5,15,1.0,1.0,1.0,1.0,2000,0.7,1.0,0.0,0.0,0.0,519.2525752148149,0.0,0.0,0.0,0.0,2.4300000000000144,0.0002700000000000016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
