experiment,scenario,value,policy,n_seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,p_c5_viol_mean,p_c5_viol_std,p_c6_viol_mean,p_c6_viol_std,p_c7_viol_mean,p_c7_viol_std,p_c8_viol_mean,p_c8_viol_std,mean_c5_excess_ratio_mean,mean_c5_excess_ratio_std,mean_overflow_prob_mean,mean_overflow_prob_std,mean_m1_excess_cond_mean,mean_m1_excess_cond_std,mean_m2_excess_cond_mean,mean_m2_excess_cond_std,mean_offload_ratio_mean,mean_offload_ratio_std,total_energy_mean,total_energy_std,avg_energy_per_slot_user_mean,avg_energy_per_slot_user_std,action_0_ratio_mean,action_0_ratio_std,action_1_ratio_mean,action_1_ratio_std,action_2_ratio_mean,action_2_ratio_std,action_3_ratio_mean,action_3_ratio_std,action_4_ratio_mean,action_4_ratio_std,action_5_ratio_mean,action_5_ratio_std,action_6_ratio_mean,action_6_ratio_std,action_7_ratio_mean,action_7_ratio_std
stress_scan,load_scale,0.5,Full,1,15,0.5,1.0,1.0,1.0,30,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.79070099259263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06074999999999998,0.0,0.0002699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,IQL,1,15,0.5,1.0,1.0,1.0,30,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.79070099259263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06074999999999998,0.0,0.0002699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,No-EVT,1,15,0.5,1.0,1.0,1.0,30,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.79070099259263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06074999999999998,0.0,0.0002699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Lyapunov-Greedy,1,15,0.5,1.0,1.0,1.0,30,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.79070099259263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06074999999999998,0.0,0.0002699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Non-MEC,1,15,0.5,1.0,1.0,1.0,30,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.79070099259263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06074999999999998,0.0,0.0002699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Stand-alone MEC,1,15,0.5,1.0,1.0,1.0,30,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.79070099259263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06074999999999998,0.0,0.0002699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Random,1,15,0.5,1.0,1.0,1.0,30,0.5,0.9111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.3421155877666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5288888888888889,0.0,0.6701090811830775,0.0,0.0029782625830359,0.0,0.13333333333333333,0.0,0.08888888888888889,0.0,0.10666666666666667,0.0,0.14222222222222222,0.0,0.13777777777777778,0.0,0.13333333333333333,0.0,0.13333333333333333,0.0,0.12444444444444444,0.0
stress_scan,load_scale,1.0,Full,1,15,1.0,1.0,1.0,1.0,30,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.5814019851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06074999999999998,0.0,0.0002699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,1.0,IQL,1,15,1.0,1.0,1.0,1.0,30,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.5814019851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06074999999999998,0.0,0.0002699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,1.0,No-EVT,1,15,1.0,1.0,1.0,1.0,30,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.5814019851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06074999999999998,0.0,0.0002699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
