scenario,value,ablation,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,p_c6_viol,p_c7_viol,p_c8_viol,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio,total_energy,avg_energy_per_slot_user,lyap_constraint_weight,lyap_energy_weight,lyap_constraint_scale,lyap_energy_scale,wolf_epsilon,episodes,warmup_ratio
load_scale,0.5,-GPD,1,15,0.5,1.0,1.0,1.0,0.26666666666666666,0.0,0.0,0.06655555555555555,559014.7217927581,2737236956082.0015,0.05722222222222217,0.9025555555555556,0.013666666666666667,0.014555555555555556,0.012,0.01611111111111111,0.016777777777777777,0.013666666666666667,0.010666666666666666,4.524222488231144,0.0005026913875812383,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
load_scale,0.5,-GPD,2,15,0.5,1.0,1.0,1.0,0.2,0.06666666666666667,0.0,0.0661111111111111,580224.65681972,4269394942955.8906,0.052555555555555425,0.9117777777777778,0.011444444444444445,0.01211111111111111,0.01211111111111111,0.011777777777777778,0.011444444444444445,0.014333333333333333,0.015,3.989639545389221,0.00044329328282102456,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
load_scale,0.5,-GPD,3,15,0.5,1.0,1.0,1.0,0.06666666666666667,0.0,0.0,0.010333333333333333,113696.53655062152,283334376035.9525,0.05255555555555541,0.912,0.011555555555555555,0.011555555555555555,0.012333333333333333,0.011777777777777778,0.013888888888888888,0.014,0.012888888888888889,3.7805349059782976,0.0004200594339975886,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
load_scale,0.5,-GPD,4,15,0.5,1.0,1.0,1.0,0.26666666666666666,0.0,0.0,0.09811111111111111,734547.9296651703,3608051718986.468,0.05599999999999988,0.9037777777777778,0.012333333333333333,0.013222222222222222,0.014666666666666666,0.013111111111111112,0.014666666666666666,0.014222222222222223,0.014,4.444217749142501,0.0004938019721269446,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
load_scale,0.5,-GPD,5,15,0.5,1.0,1.0,1.0,0.2,0.0,0.0,0.059222222222222225,680992.3857373762,3608612464425.4917,0.05299999999999987,0.9085555555555556,0.01211111111111111,0.013111111111111112,0.013222222222222222,0.012444444444444444,0.015333333333333332,0.013222222222222222,0.012,3.844951403561885,0.0004272168226179872,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
load_scale,0.5,-Lyapunov,1,15,0.5,1.0,1.0,1.0,0.26666666666666666,0.0,0.0,0.06655555555555555,229264.78350833108,330292369127.9779,0.0524444444444443,0.9073333333333333,0.013666666666666667,0.014555555555555556,0.012,0.014666666666666666,0.014444444444444444,0.013,0.010333333333333333,3.736066080404433,0.00041511845337827033,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
load_scale,0.5,-Lyapunov,2,15,0.5,1.0,1.0,1.0,0.2,0.0,0.0,0.0661111111111111,339177.4565746497,1474171424449.5583,0.0502222222222221,0.9141111111111111,0.011444444444444445,0.01211111111111111,0.01211111111111111,0.011222222222222222,0.011444444444444445,0.014,0.013555555555555555,3.9464576533449,0.0004384952948161,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
load_scale,0.5,-Lyapunov,3,15,0.5,1.0,1.0,1.0,0.06666666666666667,0.0,0.0,0.010333333333333333,60195.21256742076,68580346934.202934,0.05133333333333319,0.9132222222222223,0.011555555555555555,0.011555555555555555,0.012333333333333333,0.011777777777777778,0.013888888888888888,0.013777777777777778,0.011888888888888888,3.7484186566559297,0.00041649096185065885,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
load_scale,0.5,-Lyapunov,4,15,0.5,1.0,1.0,1.0,0.26666666666666666,0.0,0.0,0.09811111111111111,444911.4491476321,1311137372986.5435,0.05144444444444431,0.9083333333333333,0.012333333333333333,0.013222222222222222,0.014666666666666666,0.012333333333333333,0.012,0.013444444444444445,0.013666666666666667,3.920369378393343,0.00043559659759926034,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
load_scale,0.5,-Lyapunov,5,15,0.5,1.0,1.0,1.0,0.2,0.0,0.0,0.059222222222222225,285750.54793550394,552245796207.2128,0.04788888888888877,0.9136666666666666,0.01211111111111111,0.013111111111111112,0.013222222222222222,0.011777777777777778,0.012222222222222223,0.012777777777777779,0.011111111111111112,3.748230989446647,0.0004164701099385163,20.0,1.0,1e+24,1e+25,0.1,2000,0.7
